cluster,pattern_name,count,avg_silhouette,percentage
0,Strong Bullish Late Peak,22,-0.02986614933120382,11.224489795918368
1,Strong Bearish Early Peak,21,-0.13188341230091233,10.714285714285714
2,Strong Bullish Late Peak,11,-0.19362627086585224,5.612244897959184
3,Strong Bearish Mid-Day Peak,7,0.14579631807211596,3.571428571428571
4,Moderate Bullish Mid-Day Peak,20,-0.11042972601340192,10.204081632653061
5,Strong Bullish Late Peak,16,-0.0016617708724429095,8.16326530612245
6,Strong Bearish Early Peak,24,0.25537526661100246,12.244897959183673
7,Strong Bullish Late Peak,34,0.2802074815618172,17.346938775510203
8,Moderate Bullish Late Peak,17,-0.08136427958696492,8.673469387755102
9,Strong Bearish Early Peak,24,-0.009095379805157011,12.244897959183673
